year,NAFO_div,sex,age,N_millions,proportion_age,N_mature_millions,prop_mat,weight_tonnes,length_mean_mm,weight_mean_g
2003,3L,Male,2,136.92,0.48,134.69,0.98,3020.27,158.98,22.06
2003,3L,Male,3,139.59,0.49,139.19,1,3576.05,166.75,25.62
2003,3L,Male,4,5.82,0.02,5.82,1,172.48,174.98,29.65
2004,3K,Female,2,153.32,0.56,153.32,1,2388.55,143.11,15.58
2004,3K,Female,3,93.64,0.34,93.64,1,1799.16,152.79,19.21
2004,3K,Female,4,27.15,0.1,27.15,1,612.37,161.04,22.56
2004,3K,Female,5,0.83,0,0.83,1,22.58,173.22,27.35
2004,3K,Male,2,76.66,0.32,76.39,1,1821,160.35,23.76
2004,3K,Male,3,156.72,0.66,156.61,1,4377.73,169.4,27.93
2004,3K,Male,4,4.41,0.02,4.41,1,135.61,174.75,30.74
2004,3L,Female,2,316.57,0.58,315.78,1,4792.77,141.99,15.14
2004,3L,Female,3,189.73,0.35,189.72,1,3630.92,152.56,19.14
2004,3L,Female,4,40.67,0.07,40.67,1,926.43,161.4,22.78
